DATE,TIME,PLACE,AMOUNT,ACCOUNT,EXPENSE,CATEGORY,TAGS,NOTE
10-08-16,12:00 PM,LULU MALL,"3,873",CASH Spends,Yes,SHOPPING,,
10-08-16,12:00 PM,LULU MALL HYPER MARKET,"1,366",CASH Spends,Yes,GROCERIES,,
12-08-16,01:02 PM,VISABILLPAY-AIR,230,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
13-08-16,09:46 AM,BOOKMYSHOW,320.52,CitiBank credit 4456,Yes,ENTERTAINMENT,#Online,
13-08-16,12:00 PM,GOLD,500,CASH Spends,Yes,OTHER,,
13-08-16,08:28 PM,SNACKS,250,CASH Spends,Yes,ENTERTAINMENT,,
14-08-16,02:25 PM,BREAKFAST,160,CASH Spends,Yes,FOOD & DRINKS,,
14-08-16,02:25 PM,FIAH,175,CASH Spends,Yes,GROCERIES,,
15-08-16,12:00 PM,PRG TEST,130,CASH Spends,Yes,HEALTH,,
15-08-16,12:00 PM,SNACKS,108,CASH Spends,Yes,FOOD & DRINKS,,
15-08-16,12:00 PM,TRAVEL,170,CASH Spends,Yes,TRAVEL,,
17-08-16,03:06 PM,VEGIES,68,CASH Spends,Yes,GROCERIES,,
18-08-16,10:15 AM,ELLITE SUPERMARKET,"1,246",CASH Spends,Yes,GROCERIES,,
18-08-16,10:16 AM,ASIANET,"2,358",CASH Spends,Yes,BILLS,,
19-08-16,07:54 PM,MOBILE RECHARGE,220,CASH Spends,Yes,MOBILE BILLS,,
21-08-16,09:31 AM,BEEF,150,CASH Spends,Yes,GROCERIES,,
21-08-16,01:03 PM,ELITE SUPERMARKET,"1,785",CitiBank credit 4456,Yes,GROCERIES,,
22-08-16,08:05 PM,ELITE SUPERMARKET,321,CitiBank credit 4456,Yes,GROCERIES,,
23-08-16,09:54 PM,PLUMBING,100,CASH Spends,Yes,BILLS,,
24-08-16,11:41 AM,RELIANCE BILL,573,CASH Spends,Yes,MOBILE BILLS,,
25-08-16,02:31 PM,VEGIES,54,CASH Spends,Yes,GROCERIES,,
26-08-16,12:00 PM,CHICKEN,139,CASH Spends,Yes,GROCERIES,,
27-08-16,02:35 PM,SREE RADHAKRISHNA,470,CitiBank credit 4456,Yes,FOOD & DRINKS,,
27-08-16,10:27 PM,TRAVEL,338,CASH Spends,Yes,TRAVEL,,
27-08-16,10:27 PM,MEDS,620,CASH Spends,Yes,HEALTH,,
28-08-16,10:38 AM,FISH,272,CASH Spends,Yes,GROCERIES,,
28-08-16,12:00 PM,TOLL,65,CASH Spends,Yes,TRAVEL,,
29-08-16,08:20 AM,MOBIKWIK,216.52,CitiBank credit 4456,Yes,ENTERTAINMENT,#Online,
29-08-16,11:40 AM,RENT,"12,000",CASH Spends,Yes,BILLS,,
29-08-16,11:40 AM,MAID,"1,500",CASH Spends,Yes,BILLS,,
29-08-16,02:07 PM,CLINIC CHECK,370,CASH Spends,Yes,HEALTH,,
29-08-16,02:07 PM,FOOD,190,CASH Spends,Yes,FOOD & DRINKS,,
30-08-16,08:12 AM,MOBIKWIK,179,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
30-08-16,11:41 AM,IRCTC,413,CitiBank credit 4456,Yes,TRAVEL,#Online,
30-08-16,11:51 AM,IRCTC,413,CitiBank credit 4456,Yes,TRAVEL,#Online,
30-08-16,07:30 PM,PETROL,"2,000",CitiBank credit 4456,Yes,FUEL,,
31-08-16,09:15 AM,VEGIES,51,CASH Spends,Yes,GROCERIES,,
31-08-16,12:00 PM,GAS,210,CASH Spends,Yes,BILLS,,
31-08-16,12:00 PM,MILK,821,CASH Spends,Yes,BILLS,,
